region,technology,firms,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,err_9_up,err_8_up,err_7_up,err_6_up,err_5_up,err_4_up,err_3_up,err_2_up,err_1_up,err0_up,err1_up,err2_up,err3_up,err4_up,err5_up,err6_up,err7_up,err8_up,err9_up,err10_up,err_9_down,err_8_down,err_7_down,err_6_down,err_5_down,err_4_down,err_3_down,err_2_down,err_1_down,err0_down,err1_down,err2_down,err3_down,err4_down,err5_down,err6_down,err7_down,err8_down,err9_down,err10_down
East Asia,Chemical,All firms,0.001911437,-0.07707601,-0.07940799,-0.08062724,-0.081432477,-0.072212458,-0.039144732,-0.000537842,-0.001027699,-0.077163473,0.10554282,0.34211007,0.37814957,0.20832701,0.082894981,0.18250582,0.3918739,0.15147506,0.35598388,0.20365536,0.050611835,0.099426679,0.11032719,0.12261528,0.10961936,0.11199515,0.16951592,0.24983838,0.037669938,0.10501754,0.49720716,0.66511321,0.74085474,0.43459111,0.35046753,0.54955304,0.79074717,0.54737955,0.74010974,0.64347529,-0.046788961,-0.25357869,-0.26914316,-0.28386974,-0.27248433,-0.25642008,-0.24780539,-0.25091407,-0.039725333,-0.25934449,-0.28612152,0.01910693,0.015444404,-0.017937103,-0.18467757,-0.18454137,-0.006999385,-0.24442947,-0.028141946,-0.23616454
East Asia,Computers & Communications,All firms,0.16040394,-2.77E-14,-2.92E-14,0.16040394,0.097930402,-0.097930402,-3.16E-14,0.16181003,0.071936809,0.14264396,0.3019416,0.58910626,0.90948319,1.1905859,1.188435,1.0225582,1.5010015,1.6070626,1.6711414,1.9026453,0.4799957,0.16479908,0.13851367,0.55368346,0.34282902,0.18061648,0.25062516,0.41168711,0.46700361,0.51932818,0.73988581,1.1102015,1.8256584,1.9868793,2.1559918,2.0460963,2.6480024,2.784781,2.8307145,3.0386524,-0.15918781,-0.16479908,-0.13851367,-0.23287556,-0.1469682,-0.37647727,-0.25062516,-0.088067062,-0.32312998,-0.23404026,-0.13600263,0.068011068,-0.006692068,0.39429244,0.22087806,-0.000979828,0.35400057,0.42934427,0.51156837,0.76663828
East Asia,Drugs & Medical,All firms,-3.26E-14,-3.28E-14,-3.27E-14,-3.31E-14,-3.38E-14,-3.37E-14,-3.30E-14,-3.39E-14,-3.37E-14,-3.42E-14,0.51671934,0.32080787,0.4463928,0.35494295,0.48121181,0.2937912,0.45550507,0.89792013,1.1367755,0.72263998,0.050438773,0.37999415,0.076304927,0.23993553,0.13376786,0.039611571,0.50341272,0.040104125,0.38680759,0.39674827,1.8022232,0.72592211,1.5842445,1.2639185,1.6632787,1.1952057,1.5607828,2.3824444,2.8077471,2.5540147,-0.050438773,-0.37999415,-0.076304927,-0.23993553,-0.13376786,-0.039611571,-0.50341272,-0.040104125,-0.38680759,-0.39674827,-0.76878458,-0.084306329,-0.69145888,-0.55403262,-0.70085508,-0.60762328,-0.6497727,-0.58660394,-0.53419602,-1.1087348
East Asia,Electrical & Electronic,All firms,0.003476176,-0.000340946,0.002945365,0.000307525,0.096226364,-0.00017165,0.01785117,0.1171011,-0.000620905,0.12201897,0.042443119,0.10029183,0.20937316,0.22621915,0.25327745,0.3728219,0.28135309,0.49876928,0.38536498,0.49550968,0.034725342,0.007366081,0.03322443,0.028601125,0.25916943,0.028552655,0.06488996,0.28462568,0.021651376,0.379581,0.12539059,0.26300976,0.51961881,0.45551598,0.64735794,0.9288395,0.80532849,1.1277344,1.0691503,1.2816529,-0.027772993,-0.008047973,-0.027333701,-0.027986074,-0.066716686,-0.028895956,-0.029187622,-0.050423469,-0.022893187,-0.13554305,-0.040504348,-0.062426098,-0.10087247,-0.003077684,-0.14080305,-0.18319571,-0.24262233,-0.13019583,-0.29842037,-0.29063356
East Asia,Mechanical,All firms,-3.82E-15,-3.79E-15,-4.01E-15,-3.83E-15,-4.16E-15,0.088137358,0.048121184,0.13625854,-3.39E-15,0.14715172,0.088137358,0.24456078,0.032745015,0.17627472,0.28823301,-0.038644064,0.36574447,0.22268777,0.28377578,0.2896117,0.052437376,0.055902407,0.044078108,0.032971583,0.050041944,0.27707472,0.32622442,0.34400627,0.051469214,0.36502188,0.2798489,0.52293324,0.11179288,0.42921385,0.67861938,0.17241539,0.76708996,0.64825672,0.70632344,0.78677422,-0.052437376,-0.055902407,-0.044078108,-0.032971583,-0.050041944,-0.1008,-0.22998203,-0.0714892,-0.051469214,-0.070718437,-0.10357417,-0.033811677,-0.046302848,-0.076664425,-0.10215332,-0.24970353,-0.035600994,-0.20288116,-0.13877194,-0.20755081
East Asia,Others,All firms,-3.83E-15,-3.93E-15,-4.16E-15,-4.30E-15,-4.19E-15,0.12591051,-4.10E-15,-4.35E-15,-4.25E-15,-4.01E-15,0.082245737,0.17068046,0.12591051,0.057165965,0.061056733,0.25182101,0.12162238,0.42104095,-0.046778593,0.39382431,0.067045733,0.073369272,0.070128016,0.053279635,0.084149227,0.3780522,0.13885288,0.060780752,0.08787971,0.13655066,0.71798497,0.53684008,0.38599995,0.39093068,0.44573328,0.59916526,0.38654733,1.0568699,0.087742545,0.98497343,-0.067045733,-0.073369272,-0.070128016,-0.053279635,-0.084149227,-0.12623118,-0.13885288,-0.060780752,-0.08787971,-0.13655066,-0.5534935,-0.19547917,-0.13417894,-0.27659875,-0.32361981,-0.095523193,-0.14330256,-0.21478796,-0.18129973,-0.19732483
South Asia,All technologies,All firms,4.71E-15,4.81E-15,0.088137358,4.16E-15,4.30E-15,4.39E-15,0.088137358,0.14436355,0.088137358,0.14436355,0.20761369,1.49E-09,0.35972637,0.40320364,0.40008405,0.58552963,0.56572193,0.74471503,0.5202198,0.52058905,0.022001293,0.029589912,0.27495435,0.036628105,0.061291132,0.061434798,0.27496859,0.46320346,0.30101678,0.4622564,0.52102959,0.24154387,0.9017669,1.0046996,1.0655264,1.2292182,1.3954664,1.5219285,1.2211716,1.1881402,-0.022001293,-0.029589912,-0.098679639,-0.036628105,-0.061291132,-0.061434798,-0.09869387,-0.17447637,-0.12474205,-0.17352931,-0.10580225,-0.24154387,-0.18231417,-0.1982923,-0.2653583,-0.058159076,-0.26402259,-0.032498483,-0.18073195,-0.14696212
South Asia,Chemical,All firms,3.51E-14,3.48E-14,3.56E-14,3.69E-14,3.74E-14,3.74E-14,3.76E-14,0.48121184,0.2937912,0.48121181,0.2937912,-0.2937912,0.48121184,0.48121181,0.33865771,0.50988686,0.74360472,0.62329119,0.71145403,0.30924577,0.41985622,0.68688685,0.64350903,0.15837961,0.43770495,0.51840943,0.38877046,1.7489107,1.0955986,1.8155102,1.4558489,0.59999502,1.8840126,1.9024752,1.4518827,1.9978191,2.7014618,2.3723366,2.5930052,1.1850058,-0.41985622,-0.68688685,-0.64350903,-0.15837961,-0.43770495,-0.51840943,-0.38877046,-0.78648692,-0.50801617,-0.85308647,-0.86826652,-1.1875774,-0.92158896,-0.94005156,-0.77456731,-0.9780454,-1.2142522,-1.1257542,-1.1700971,-0.56651425
South Asia,Computers & Communications,All firms,-1.09E-15,-1.08E-15,-1.18E-15,-1.04E-15,-1.20E-15,-1.06E-15,-1.14E-15,-1.28E-15,-1.17E-15,-1.18E-15,-1.29E-15,-1.26E-15,-1.07E-15,-9.36E-16,-1.22E-15,0.62514514,0.88137358,1.7362776,0.26945475,1.1868128,1.18E-13,1.17E-13,1.21E-13,1.14E-13,1.24E-13,1.14E-13,1.24E-13,1.31E-13,1.21E-13,1.24E-13,1.28E-13,1.28E-13,1.14E-13,1.11E-13,1.24E-13,0.62514514,0.88137358,1.7362776,0.26945475,1.1868128,-1.20E-13,-1.20E-13,-1.23E-13,-1.16E-13,-1.27E-13,-1.16E-13,-1.26E-13,-1.33E-13,-1.23E-13,-1.26E-13,-1.31E-13,-1.31E-13,-1.16E-13,-1.13E-13,-1.27E-13,0.62514514,0.88137358,1.7362776,0.26945475,1.1868128
South Asia,Drugs & Medical,All firms,4.82E-15,5.28E-15,0.88137358,4.98E-15,4.41E-15,4.64E-15,0.88137358,4.42E-15,4.19E-15,4.75E-15,1.1947633,0.88137358,2.1536283,2.5884011,2.9848673,2.8191168,3.426405,2.9596257,2.7983813,3.0913403,4.09E-13,4.35E-13,0.88137358,4.23E-13,3.63E-13,3.94E-13,0.88137358,3.61E-13,3.49E-13,3.89E-13,1.1947633,0.88137358,2.1536283,2.5884011,2.9848673,2.8191168,3.426405,2.9596257,2.7983813,3.0913403,-4.00E-13,-4.25E-13,0.88137358,-4.13E-13,-3.54E-13,-3.85E-13,0.88137358,-3.52E-13,-3.41E-13,-3.79E-13,1.1947632,0.88137358,2.1536281,2.5884008,2.9848673,2.8191168,3.426405,2.9596257,2.7983813,3.0913403
South Asia,Electrical & Electronic,All firms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Asia,Mechanical,All firms,3.63E-16,3.64E-16,3.62E-16,3.61E-16,3.48E-16,3.66E-16,3.72E-16,3.33E-16,3.75E-16,3.68E-16,3.85E-16,3.90E-16,3.46E-16,4.05E-16,4.06E-16,0.88137358,3.43E-16,3.43E-16,3.60E-16,3.58E-16,3.03E-14,3.09E-14,3.06E-14,3.07E-14,2.97E-14,3.10E-14,3.17E-14,2.87E-14,3.14E-14,3.08E-14,3.23E-14,3.27E-14,2.95E-14,3.42E-14,3.44E-14,0.88137358,2.91E-14,2.91E-14,3.06E-14,3.03E-14,-2.96E-14,-3.01E-14,-2.98E-14,-3.00E-14,-2.90E-14,-3.03E-14,-3.10E-14,-2.81E-14,-3.06E-14,-3.01E-14,-3.15E-14,-3.19E-14,-2.88E-14,-3.34E-14,-3.36E-14,0.88137358,-2.84E-14,-2.84E-14,-2.99E-14,-2.96E-14
South Asia,Others,All firms,-6.91E-15,-6.81E-15,-7.44E-15,-7.41E-15,-6.77E-15,-6.66E-15,-7.41E-15,-7.31E-15,-6.83E-15,-6.53E-15,-7.25E-15,-7.21E-15,-6.49E-15,-6.49E-15,-7.17E-15,-7.12E-15,-0.44068679,0.44068679,-7.15E-15,-7.11E-15,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,2.37E-08,1.0974878,1.9788613,2.37E-08,2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-2.37E-08,-1.9788613,-1.0974878,-2.37E-08,-2.37E-08
Southeast Asia,All technologies,All firms,0.00072571,0.000269954,0.000257485,-0.018661883,-0.025277376,-0.042882573,-0.086642154,-0.03934909,-0.051090818,-0.078271955,-0.075027756,-0.008730156,-0.019362696,-0.019274907,-0.06505248,-0.059327062,-0.073314175,-0.045378327,-0.15533404,-0.2089752,0.006448509,0.005470565,0.005687041,0.009159201,0.008356427,0.002300734,-0.00709712,0.003304415,-0.001739251,-0.005741636,-0.002186699,0.049276799,0.075219028,0.089870982,0.050288364,0.054222863,0.065963052,0.097810991,0.026857726,-0.018652413,-0.004997089,-0.004930656,-0.005172071,-0.046482965,-0.058911182,-0.088065878,-0.1661872,-0.082002595,-0.10044239,-0.15080227,-0.14786881,-0.066737108,-0.11394441,-0.1284208,-0.18039332,-0.17287698,-0.21259139,-0.18856764,-0.33752581,-0.39929798
Southeast Asia,Chemical,All firms,0.002093972,0.000674192,0.001177438,-0.004850287,-0.01243968,-0.002777356,-0.001203981,-0.005064772,0.006082621,-0.011406533,-0.18894635,0.018385623,-0.035089511,0.3827897,-0.039734844,-0.046614252,-0.003252201,0.019626323,-0.26319522,-0.12983286,0.024558773,0.011035792,0.018983502,0.025112029,0.070853382,0.031884789,0.019778663,0.040411413,0.066796727,0.1182662,0.24711183,0.14993103,0.18018839,0.9803437,0.24599671,0.26512006,0.20993057,0.17649604,0.1668307,0.1740922,-0.02037083,-0.009687408,-0.016628627,-0.034812603,-0.095732749,-0.037439503,-0.022186626,-0.050540958,-0.054631487,-0.14107928,-0.62500453,-0.11315978,-0.2503674,-0.21476431,-0.32546639,-0.35834858,-0.21643497,-0.13724339,-0.69322115,-0.43375793
Southeast Asia,Computers & Communications,All firms,0.007114641,-0.003566427,0.003329124,0.002224123,-0.062788956,0.000364825,-0.11876827,-0.12302669,-0.094252281,-0.06874647,-0.063524179,-0.082821205,-0.025798377,-0.028576413,-0.054813344,0.020462854,-0.017214082,-0.31281042,-0.49283656,-0.51108658,0.047723733,0.03947274,0.047203366,0.047468141,0.066625021,0.041533478,0.061585691,0.075077303,0.12786701,0.039039768,0.10977571,0.13138558,0.099339485,0.18648021,0.28260192,0.34646001,0.51838487,0.20084067,0.19479208,0.14568348,-0.03349445,-0.046605591,-0.040545117,-0.043019895,-0.19220294,-0.040803827,-0.29912221,-0.32113069,-0.31637159,-0.17653272,-0.23682408,-0.29702801,-0.15093625,-0.24363303,-0.3922286,-0.3055343,-0.55281305,-0.82646149,-1.1804652,-1.1678566
Southeast Asia,Drugs & Medical,All firms,-0.002613246,-0.002843405,-0.002480433,-0.009407166,-0.009230913,-0.010066232,-0.016499853,-0.009690761,-3.9141E-05,0.002877248,0.017101718,-0.038152244,-0.050721139,-0.062207498,-0.06792888,-0.1285326,0.077784568,0.11682019,-0.052257851,-0.14957555,0.025538458,0.027646383,0.02745848,0.082357436,0.093705751,0.090489805,0.14147864,0.094747573,0.089478567,0.13104986,0.23325035,0.15654534,0.13415812,0.16911229,0.46997663,0.1092846,1.373794,0.41302344,1.3576862,0.8541261,-0.03076495,-0.033333194,-0.032419346,-0.10117177,-0.11216757,-0.11062227,-0.17447834,-0.11412909,-0.08955685,-0.12529537,-0.19904691,-0.23284984,-0.2356004,-0.29352731,-0.60583442,-0.36634979,-1.2182249,-0.17938305,-1.4622018,-1.1532772
Southeast Asia,Electrical & Electronic,All firms,-0.001313294,-0.000516865,-0.001247261,-0.027922468,-0.049882393,-0.10903725,-0.13555923,-0.003303125,-0.024729798,-0.040130865,0.037958566,0.008207533,0.020983869,0.002629862,-0.027933834,0.03898273,-0.063181661,0.08765655,0.15474954,-0.040100481,0.012363571,0.009345667,0.010591353,0.032864165,0.044281296,0.029731946,0.061787292,0.026610298,0.023412278,0.014241331,0.16601372,0.16617692,0.22855973,0.20138547,0.19479188,0.24961901,0.19926262,0.37868157,0.39069027,0.23827595,-0.014990159,-0.010379397,-0.013085876,-0.088709101,-0.14404608,-0.24780644,-0.33290574,-0.033216547,-0.072871871,-0.09450306,-0.090096593,-0.14976186,-0.186592,-0.19612573,-0.25065956,-0.17165355,-0.32562593,-0.20336847,-0.081191175,-0.31847692
Southeast Asia,Mechanical,All firms,0.002200777,-0.001141598,-0.004747816,-0.000372716,-0.003161718,-0.063798554,-0.13796908,-0.074623249,-0.11147267,-0.12174406,-0.2815139,-0.012282035,0.022926621,-0.23730038,-0.22244054,-0.24920584,-0.23645101,-0.10604306,-0.39848742,-0.4586632,0.021041542,0.019031176,0.021932278,0.023432501,0.03969676,0.069957525,0.13614269,0.056928653,0.024363982,0.16454166,-0.046481427,0.042681947,0.31790364,0.12283061,0.088912904,0.12872985,0.050652284,0.24215461,0.077479139,0.063770577,-0.016639989,-0.021314373,-0.031427909,-0.024177933,-0.046020195,-0.19755463,-0.41208082,-0.20617516,-0.24730933,-0.40802976,-0.51654637,-0.06724602,-0.27205041,-0.59743136,-0.53379399,-0.62714154,-0.52355433,-0.45424074,-0.87445396,-0.98109692
Southeast Asia,Others,All firms,-0.000878213,-0.000478528,-0.000976716,-0.068378724,-0.00129814,-0.014749822,-0.00081704,-0.002759074,-0.011595455,-0.17880499,-0.002547286,0.047183033,-0.12841792,0.005139799,0.010906441,-0.072273202,0.003732914,0.002966125,-0.000850013,0.045139499,0.013021555,0.013567528,0.00991821,0.079778306,0.011235247,0.016126536,0.013529195,0.02445952,0.036779191,0.082277395,0.031565469,0.15612888,0.1532965,0.18429005,0.22670682,0.064965509,0.057495821,0.24662693,0.029623903,0.1364985,-0.014777981,-0.014524585,-0.011871642,-0.21653575,-0.013831526,-0.045626178,-0.015163276,-0.029977668,-0.059970103,-0.4398874,-0.036660038,-0.061762825,-0.41013235,-0.17401046,-0.20489393,-0.20951192,-0.050029993,-0.24069467,-0.031323928,-0.046219502
All regions,All technologies,Bottom 80%,-0.020205718,0.007312475,-0.00483126,0.005686894,0.023542777,0.007203522,0.031936411,0.016828606,0.028430279,0.042017043,0.096239999,0.14315562,0.14082555,0.20664982,0.17832282,0.17603809,0.17226025,0.19007276,0.22489715,0.21051632,0.008849467,0.038224656,0.024525244,0.037058372,0.055347558,0.039816625,0.067706339,0.051544007,0.063825496,0.080494389,0.13513793,0.18572102,0.18425137,0.25192738,0.22701496,0.22349606,0.22249618,0.24246448,0.27994102,0.26585913,-0.049260899,-0.023599705,-0.034187764,-0.025684582,-0.008262006,-0.025409581,-0.003833515,-0.017886793,-0.006964932,0.003539695,0.057342071,0.10059021,0.097399734,0.16137229,0.1296307,0.12858011,0.12202432,0.13768102,0.16985327,0.15517353
All regions,All technologies,Top 1%,-0.016783729,-0.028403204,0.000837102,-0.007486984,-0.020269282,0.014158128,0.013337105,0.021748828,0.013479573,0.019065745,0.065113164,0.063881531,0.08924643,0.0779953,0.075147562,0.12450556,0.12442648,0.13997348,0.15158716,0.16590406,0.030984441,0.017242819,0.052116893,0.039982494,0.033578038,0.067554109,0.073709749,0.077997304,0.076339744,0.078479491,0.13183813,0.13031931,0.1571542,0.1493271,0.15101252,0.20195509,0.20221761,0.22570211,0.24251063,0.25797004,-0.064551897,-0.074049227,-0.050442688,-0.054956459,-0.074116603,-0.039237849,-0.047035541,-0.034499653,-0.0493806,-0.040348001,-0.001611796,-0.002556259,0.021338657,0.006663507,-0.000717412,0.047056012,0.046635356,0.054244854,0.0606637,0.073838092
