region,technology,firms,t_9,t_8,t_7,t_6,t_5,t_4,t_3,t_2,t_1,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,err_9_up,err_8_up,err_7_up,err_6_up,err_5_up,err_4_up,err_3_up,err_2_up,err_1_up,err0_up,err1_up,err2_up,err3_up,err4_up,err5_up,err6_up,err7_up,err8_up,err9_up,err10_up,err_9_down,err_8_down,err_7_down,err_6_down,err_5_down,err_4_down,err_3_down,err_2_down,err_1_down,err0_down,err1_down,err2_down,err3_down,err4_down,err5_down,err6_down,err7_down,err8_down,err9_down,err10_down
Western Europe,Computers & Communications,All firms,0.005793227,0.015530579,-0.002242747,0.023500443,0.046379305,0.039367743,0.042926062,0.018921526,0.041320279,0.065407075,0.12983139,0.15578501,0.18724364,0.20966208,0.11879922,0.20163344,0.17481025,0.1273343,0.34020242,0.29271013,0.040986888,0.054046322,0.038787778,0.073936701,0.10839581,0.095803998,0.1044457,0.083578117,0.10826486,0.15362166,0.21448086,0.25516906,0.29164946,0.32068712,0.23679778,0.32729447,0.30113569,0.27036691,0.48699179,0.45316362,-0.029400432,-0.022985164,-0.04327327,-0.026935814,-0.015637202,-0.017068516,-0.018593581,-0.045735065,-0.025624299,-0.022807498,0.045181919,0.056400947,0.08283782,0.098637044,0.000800674,0.075972401,0.048484806,-0.015698325,0.19341306,0.13225661
Western Europe,Drugs & Medical,All firms,-0.033962063,-0.020300377,-0.016329827,-0.017498726,-0.007221655,-0.007772435,0.050152842,0.069196142,0.001871501,0.041257128,0.093373597,0.10422964,0.2367788,0.21030721,0.07400424,0.13359229,0.17346156,0.21154694,0.29321471,0.27677587,0.043645531,0.048844602,0.050431252,0.047792308,0.051541418,0.063691579,0.12822022,0.15243985,0.090592004,0.12655848,0.18584521,0.21693891,0.34824517,0.3301864,0.19112788,0.25929356,0.31678241,0.36013716,0.46770656,0.44330552,-0.11156966,-0.089445353,-0.083090909,-0.082789756,-0.065984726,-0.079236448,-0.027914528,-0.014047567,-0.086849004,-0.044044223,0.000901971,-0.008479628,0.1253124,0.09042801,-0.043119412,0.007891038,0.030140713,0.062956721,0.11872287,0.1102462
Western Europe,Electrical & Electronic,All firms,-0.023910927,0.026272066,0.035743557,0.041539248,0.042042028,0.013092682,0.025533916,0.10056372,0.10219681,0.081575245,0.14846107,0.10163428,0.18994953,0.26862967,0.2650857,0.23729752,0.22569394,0.26331702,0.26782566,0.26323178,0.055793025,0.11718761,0.11720212,0.13471965,0.1341081,0.092503548,0.12094905,0.19390906,0.19605851,0.18231718,0.25397491,0.21595211,0.30088821,0.39239162,0.39124188,0.37411517,0.36624345,0.41425905,0.42782864,0.41833782,-0.10361487,-0.06464348,-0.045715008,-0.051641155,-0.050024047,-0.066318184,-0.069881223,0.007218377,0.008335108,-0.019166697,0.04294724,-0.01268356,0.079010829,0.14486769,0.13892953,0.10047986,0.085144438,0.11237501,0.10782269,0.10812576
Western Europe,Mechanical,All firms,-0.074395418,0.078295968,-0.080132782,0.067175463,0.023812477,0.084096886,-0.028538341,0.004350388,-0.078853376,0.09709844,0.085261591,0.18318129,0.037634458,0.20399453,0.10379597,0.24680652,0.204248,0.070947826,0.079517543,0.13570718,0.054524135,0.22882178,0.043381799,0.18516523,0.16369534,0.24078143,0.13105811,0.14536434,0.063119896,0.24222042,0.25520822,0.35440937,0.20701224,0.37780637,0.29054239,0.41856328,0.39694169,0.26844341,0.27027136,0.30635154,-0.20331497,-0.072229847,-0.20364736,-0.050814301,-0.11607038,-0.072587647,-0.18813479,-0.13666357,-0.22082664,-0.048023537,-0.084685028,0.011953218,-0.13174331,0.030182691,-0.08295045,0.075049758,0.011554287,-0.12654775,-0.11123629,-0.034937173
Western Europe,Others,All firms,0.08864519,0.037494324,0.089909725,0.059994299,0.12430484,0.10167347,0.13417795,0.034850501,0.18491633,0.04634184,0.12777548,0.20122887,0.19111699,0.14534608,0.15813179,0.11136346,0.15719478,0.1916786,0.24755129,0.16060777,0.17203562,0.11126781,0.16663677,0.14248291,0.20957829,0.19417426,0.23622531,0.12222384,0.28569829,0.13843068,0.21882538,0.30400971,0.29080668,0.25185102,0.25771728,0.20725559,0.25620434,0.29001695,0.35140076,0.25818786,0.005254761,-0.036279161,0.013182684,-0.022494316,0.039031394,0.009172676,0.032130599,-0.052522838,0.084134363,-0.045747008,0.036725558,0.09844806,0.091427296,0.038841125,0.058546279,0.015471322,0.058185209,0.09334027,0.14370182,0.063027687
Eastern Europe,All technologies,All firms,-0.040636148,-0.060792804,-0.007787181,-0.042537864,-0.015413479,-0.072355643,-0.023481775,-0.060374804,-0.04493155,-0.15891673,-0.071516111,-0.1604498,-0.14686264,-0.18605629,-0.23991643,-0.13331287,-0.12845211,-0.31443068,-0.16868423,-0.017665872,0.058122028,0.063251071,0.066340953,0.045057677,0.054601517,0.034909565,0.017424747,0.054993059,0.10381955,0.00670197,0.076407112,0.03071228,0.09950944,-0.013439299,0.010952236,0.15965658,0.040906653,-0.032454047,0.054292921,0.15194418,-0.13939433,-0.18483667,-0.081915312,-0.13013341,-0.085428476,-0.17962085,-0.064388297,-0.17574267,-0.19368264,-0.3245354,-0.21943933,-0.35161188,-0.3932347,-0.35867327,-0.49078509,-0.42628232,-0.29781085,-0.59640729,-0.39166138,-0.18727593
Eastern Europe,Chemical,All firms,-0.3214485,0.15628628,-0.064057112,0.15628628,0.15628628,-0.26648921,-0.03333525,-0.2203434,-0.28480902,-0.20462258,0.099345058,0.14827782,-0.084319629,-0.40470347,0.035983328,0.18129934,0.15628628,-0.12161275,0.25563136,-0.017000511,1.1208718,0.68481898,0.98340458,0.68481898,0.68481898,1.0941991,0.079398707,0.5248192,0.67836505,1.2783141,0.29331601,0.84653515,0.37756297,0.53128219,0.80293953,1.1489949,0.68481898,1.141616,0.7012676,0.8936376,-1.7637688,-0.37224644,-1.1115189,-0.37224644,-0.37224644,-1.6271775,-0.14606921,-0.96550602,-1.2479831,-1.6875592,-0.094625875,-0.54997951,-0.54620224,-1.3406891,-0.73097289,-0.78639621,-0.37224644,-1.3848416,-0.19000493,-0.92763865
Eastern Europe,Computers & Communications,All firms,0.000506374,0.001768733,0.00175465,-0.005798131,-0.007849841,-0.056758814,-0.018844444,-0.2053045,-0.14101791,-0.30358526,-0.37084877,-0.34936893,-0.47130439,-0.47323784,-0.51962227,-0.52319151,-0.24455936,-0.64661974,-0.26819935,0.089074463,0.005623241,0.012404948,0.015228835,0.035479058,0.042330824,0.057958253,0.089638487,0.1454566,0.10498865,0.19043422,0.20216483,0.29060543,0.38930425,0.12189688,0.22852509,0.17100078,0.3131268,-0.14956985,0.30626667,0.44612622,-0.004610492,-0.008867484,-0.011719535,-0.04707532,-0.058030508,-0.17147587,-0.12732738,-0.55606562,-0.38702449,-0.79760474,-0.94386238,-0.98934329,-1.331913,-1.0683726,-1.2677697,-1.2173837,-0.80224556,-1.1436696,-0.84266537,-0.26797733
Eastern Europe,Drugs & Medical,All firms,-3.85361E-05,0.005413829,0.00060862,0.00443353,-0.030187042,-0.001348465,-0.005082654,0.15469776,0.28537053,-0.015339786,0.17053625,0.006898972,0.23131676,0.008576489,0.16299056,0.40345812,-0.032939106,0.19402564,0.085960694,-0.076367438,0.006774876,0.042871349,0.017636014,0.033179548,0.053083103,0.016293893,0.03327306,0.50324112,0.91297561,0.087369159,0.34765986,0.063110858,0.73671842,0.41669062,0.68476737,1.2674731,0.067198493,1.1797184,0.72344357,0.17840976,-0.006851948,-0.032043688,-0.016418774,-0.024312487,-0.11345719,-0.018990824,-0.043438368,-0.1938456,-0.34223455,-0.11804873,-0.006587363,-0.049312912,-0.2740849,-0.39953765,-0.35878623,-0.46055692,-0.1330767,-0.79166704,-0.5515222,-0.33114463
Eastern Europe,Electrical & Electronic,All firms,-0.003599845,0.006636675,0.004408681,-0.07378377,-0.16365451,0.027147036,0.006273198,0.016667133,0.022157684,0.008112066,-0.01276048,-0.11923937,-0.020769006,-0.008066583,-0.60785198,-0.53630799,-0.17433076,-0.60697889,-0.41745242,0.22365451,0.035946291,0.080299377,0.077341989,0.15929818,0.4060297,0.2828688,0.075360849,0.20339687,0.35068682,0.078877807,0.29784942,0.34922996,0.28337815,0.075306885,0.73758912,1.0783054,0.338577,0.59855735,0.83649814,0.92261392,-0.043145981,-0.067026027,-0.068524629,-0.30686572,-0.73333871,-0.22857472,-0.062814452,-0.1700626,-0.30637145,-0.062653668,-0.32337037,-0.58770871,-0.32491615,-0.091440052,-1.9532931,-2.1509213,-0.68723851,-1.8125151,-1.6714031,-0.47530487
