geoid_r	pop_rIp	GDPpc_rIp	popd_rIp	allpat	educ_rIp
987	295448.51	26398.49	3.30	0.78	10.03
988	161991.85	26216.48	2.94	0.56	10.20
989	219905.55	24827.36	3.02	2.32	9.85
990	53199.93	23146.26	2.89	0.29	9.99
991	135431.52	24777.92	3.91	0.41	9.91
992	981322.86	25565.70	4.57	4.64	10.17
993	242728.06	24411.74	3.84	1.15	10.07
994	1403858.17	27041.60	3.94	6.50	10.28
995	277057.97	24117.29	2.55	1.21	10.09
996	292203.47	25232.83	2.24	1.09	10.00
997	297006.56	25328.69	2.67	3.14	9.92
998	280692.58	27471.65	2.40	0.81	10.12
999	147215.60	24876.17	0.90	0.15	10.20
1000	298287.37	24801.31	1.46	2.44	10.50
1001	331144.01	26559.42	0.90	0.90	10.37
1002	88089.36	13700.35	4.51	0.03	9.86
1003	225477.12	15780.29	4.97	0.04	10.32
1004	53031.91	15658.48	4.26	0.07	10.05
1005	182827.82	17323.71	4.66	0.18	10.11
1006	32895.43	14798.21	5.15	0.02	10.19
1007	49383.66	16396.04	4.35	0.06	9.88
1008	97172.06	17670.19	3.93	0.09	9.75
1009	35885.82	14889.66	3.54	0.05	10.05
1010	349724.32	26663.96	5.25	0.14	11.00
1011	140778.64	16978.15	4.52	0.05	10.43
1012	85356.63	18558.54	3.95	0.08	10.12
1013	72696.32	20538.98	4.61	0.03	10.30
1014	451498.08	28359.43	5.70	0.16	10.07
1015	413149.41	13460.47	4.89	0.05	8.98
1016	458090.52	11624.09	4.90	0.11	9.11
1017	532800.14	11011.76	4.72	0.08	9.05
1018	524972.79	10277.96	4.62	0.06	8.88
1019	498807.44	9982.83	4.25	0.04	9.01
1020	596939.19	7698.88	4.47	0.04	8.54
1021	577986.69	11042.12	4.73	0.04	8.89
1024	1107441.88	9439.42	6.18	0.00	11.14
1036	200332.38	3751.70	4.32	0.00	9.07
1046	1001155.49	11150.48	1.20	0.27	10.64
1047	314071.58	3323.41	4.02	0.07	9.99
1048	305910.62	3245.81	3.42	0.00	10.38
1050	585629.43	3621.62	4.24	0.16	10.42
1051	471878.56	3311.63	4.44	0.03	10.76
1052	1910797.07	5147.88	3.70	0.07	10.26
1053	813906.31	6298.12	4.25	0.09	10.72
1054	1258015.67	13727.06	1.89	0.04	11.08
1055	673110.38	7109.56	2.55	0.09	9.74
1056	719856.20	5002.02	2.65	0.14	9.80
1057	6409869.86	9943.60	4.33	1.47	11.50
1058	1167413.43	4451.74	3.70	0.12	9.90
1059	950810.42	6040.27	3.08	0.09	9.95
1060	826664.01	9582.38	1.45	0.15	10.20
1062	723803.24	5788.87	2.54	0.02	9.79
1063	3221932.68	7693.87	3.84	0.38	10.21
1064	1409648.35	5963.33	2.90	0.14	10.00
1065	1292642.89	13300.30	2.19	0.07	9.95
1066	1307268.83	8281.41	3.65	0.02	10.21
1067	907462.64	6020.51	3.59	0.08	10.39
1068	1022552.47	6189.26	3.75	0.08	9.92
1069	1007220.01	10059.74	3.92	0.09	9.94
1070	14545508.82	18930.95	5.86	6.62	11.56
1071	722352.98	5962.58	3.57	0.05	10.01
1072	3267233.45	5178.86	3.77	0.17	10.42
1073	1453181.92	6140.38	4.21	0.15	10.06
1074	2072547.90	6291.83	3.17	0.07	10.41
1075	1175143.34	7622.79	4.02	0.03	10.18
1076	3613729.93	6263.08	4.22	0.10	10.22
1077	791554.10	4658.27	3.57	0.06	10.16
1078	1238737.86	4344.25	3.53	0.03	9.89
1079	1080815.05	6127.41	3.46	0.08	9.99
1080	1009619.70	4719.62	3.57	0.09	9.74
1081	1398636.28	5352.44	3.97	0.04	10.13
1082	1924395.14	5257.82	3.84	0.17	10.11
1083	3497193.80	8559.40	3.36	0.07	10.14
1084	3104977.14	8321.30	3.71	0.20	10.33
1085	921880.59	4637.62	2.69	0.07	9.59
1086	1236721.19	14648.03	0.95	0.09	10.55
1087	1487672.78	5659.05	2.56	0.17	9.82
1088	670682.98	4086.21	3.44	0.09	10.32
1089	4353110.05	9525.35	3.15	0.16	10.21
1090	1466913.26	7794.64	3.63	0.18	10.34
1091	745249.02	6159.10	3.10	0.14	
1092	1168557.95	4612.38	4.28	0.02	10.17
1093	220296.31	3670.91	1.42	0.00	10.31
1094	1773224.02	8342.64	2.87	0.18	10.10
1095	2729327.75	11145.71	4.12	0.12	10.66
1096	2155273.27	6021.86	3.27	0.08	10.41
1097	3308244.89	11060.60	4.02	0.09	10.35
1098	1201719.39	5591.03	3.65	0.04	10.05
1099	1887755.09	7560.28	2.71	0.08	10.14
1100	2156441.30	4405.23	2.74	0.18	9.92
1101	159635.86	3932.09	0.78	0.10	9.91
1102	2568587.59	8859.10	3.44	0.14	10.09
1103	469840.55	7488.04	2.21	0.05	10.20
1104	2382266.91	7207.10	2.73	0.58	10.28
1105				0.08	
1107	849504.52	6142.38	1.05	0.12	10.34
1108	799886.65	7313.33	0.97	0.28	10.28
1109	1219428.52	18889.85	-1.14	0.01	11.04
1110	149820.36	5521.00	1.71	0.06	9.51
1111	1293419.65	10087.93	0.64	0.08	10.82
1112	237685.68	14190.21	-0.77	0.00	11.39
1113	459653.62	15309.56	1.93	0.16	10.77
1114	444007.73	6286.94	4.38	0.03	9.03
1116	517230.67	7565.41	4.66	0.11	9.72
1117	381489.56	4671.93	4.41	0.08	8.76
1118	277142.26	5310.19	4.45	0.03	8.80
1119	184248.17	4988.12	4.17	0.15	8.63
1120	278982.27	5927.01	4.12	0.02	9.14
1121	427620.45	7930.42	4.71	0.04	10.08
1124	425329.92	6036.87	4.47	0.10	9.10
1128	593455.84	5293.63	4.99	0.08	8.95
1129	404294.62	4779.00	4.54	0.05	8.69
1130	507528.97	4517.89	4.39	0.00	8.69
1132	263648.06	4957.17	4.36	0.08	8.80
1133	352385.84	4567.66	4.40	0.00	8.26
1134	500498.10	8087.45	4.62	0.03	9.35
1138	463589.36	6818.34	4.56	0.05	9.35
1139	227156.90	4012.72	4.16	0.02	7.54
1140	383685.46	4864.80	4.90	0.10	8.53
1142	207852.72	5466.58	4.20	0.02	7.88
1143	590841.07	6387.29	5.17	0.13	9.08
1145	1361317.34	13397.29	8.99	0.33	10.97
1146	211983.04	8239.40	5.26	0.00	8.08
1147	509807.78	4871.56	4.59	0.04	8.80
1150	343737.66	4560.85	4.49	0.00	8.44
1151	293989.52	5950.02	4.28	0.09	8.85
1152	335744.25	6974.90	4.09	0.08	8.86
1153	241059.64	5340.68	3.69	0.05	8.80
1154	354745.07	6041.94	4.25	0.15	9.40
1155	488266.26	7873.04	4.36	0.03	9.58
1156	2103909.67	9441.18	4.97	0.15	10.02
1157	4036485.25	14448.77	4.93	0.80	10.57
1158	2437008.27	8843.32	5.34	0.17	10.49
1159	3759718.25	11461.34	5.97	0.37	10.81
1160	1758719.46	7534.14	4.48	0.19	9.76
1161	1664898.26	7561.83	4.79	0.10	10.09
1162	1027597.30	7828.93	4.71	0.03	9.63
1163	1012050.84	7576.69	4.10	0.09	9.72
1164	2711417.69	10434.38	4.71	0.22	10.41
1165	824909.60	9624.33	4.28	0.05	10.24
1166	2331430.97	10515.66	4.99	0.21	10.45
1167	868284.29	8990.25	4.76	0.32	10.49
1168	1717855.59	9506.38	4.75	0.04	10.40
1169	1220816.52	8250.01	4.09	0.06	10.32
1170	3248931.64	10258.17	4.55	0.21	10.42
1171	460532.34	88789.33	6.92	1.98	9.02
1172	416789.85	29981.95	4.43	0.78	9.02
1173	195033.89	25283.50	1.92	0.08	8.53
1174	189985.81	24251.78	1.98	0.36	8.62
1175	233948.06	25658.33	4.05	0.24	8.48
1176	227001.69	27187.83	2.72	0.23	8.55
1177	193557.59	26008.73	4.50	0.14	8.74
1178	160285.73	27493.97	2.37	0.68	8.63
1179	93706.13	24876.19	2.36	0.23	8.72
1180	138044.31	29235.22	2.99	0.09	8.81
1181	328653.33	32802.77	3.58	0.68	8.63
1182	413994.07	33857.43	3.28	0.31	8.82
1183	110879.09	28981.72	1.74	0.24	8.64
1184	258411.39	27793.13	2.76	0.32	8.56
1185	277328.45	35420.38	2.59	0.92	8.88
1186	145842.44	25235.15	1.74	0.11	8.75
1187	303979.39	26762.11	1.83	0.11	8.48
1188	206558.20	31511.74	1.73	0.25	8.56
1189	107525.54	30457.99	0.42	0.13	8.30
1190	469538.76	40023.85	5.46	0.92	10.33
1191	518796.26	27986.20	5.17	0.96	9.98
1192	387527.95	27690.04	5.16	0.48	9.77
1193	881971.01	29632.73	5.75	1.94	10.07
1194	1554341.45	28898.80	5.92	5.03	10.06
1195	256306.91	24910.57	5.29	0.32	
1196	915953.05	41509.47	6.66	2.84	10.79
1197	2069544.45	39344.26	6.78	6.79	10.59
1198	2730203.48	34830.23	6.95	8.54	10.17
1199	297296.41	30565.33	5.26	0.51	9.85
1200	1883427.18	34377.83	6.13	25.14	10.07
1201	903448.68	30300.37	6.24	4.50	9.86
1222	611031.90	9142.50	4.46	0.48	11.11
1223	340327.44	10411.34	4.31	0.00	10.79
1227	113859.22	5473.11	3.39	0.00	9.85
1229	163036.28	8532.60	3.25	0.03	10.12
1230	740792.46	13254.89	4.48	0.34	11.43
1231	2778361.60	30619.81	5.19	7.20	6.86
1232	1178355.12	26953.28	5.73	0.78	7.35
1233	989445.43	24745.57	4.99	0.52	6.53
1234	3069544.99	27801.39	5.16	8.43	6.96
1235	83103.59	31212.31	3.59	0.08	6.75
1236	6389578.64	31606.17	5.92	26.89	7.23
1237	870264.61	27598.07	5.08	1.61	7.20
1238	655304.81	29260.48	4.20	0.52	7.21
1239	3163371.69	27856.33	5.50	5.51	6.82
1240	1399483.77	21278.43	8.19	8.49	9.93
1241	751197.29	10090.94	5.07	0.64	8.27
1242	309568.15	12773.79	4.57	0.10	8.22
1243	233454.68	11628.16	4.93	0.25	8.23
1244	273710.01	11045.35	4.42	0.48	8.18
1245	318517.38	14525.25	4.64	0.15	8.48
1246	201137.29	12193.98	4.42	0.09	8.25
1247	220638.63	10503.16	4.38	0.11	7.99
1248	299130.68	8396.20	4.54	0.17	8.21
1249	250124.38	7821.93	4.04	0.05	7.78
1250	184836.84	9448.41	4.23	0.10	7.80
1251	572332.69	9551.28	4.66	0.32	7.97
1252	248187.53	8761.66	4.52	0.05	8.02
1253	169533.58	12173.76	4.49	0.06	7.84
1254	403969.86	8715.02	4.48	0.96	7.98
1255	313799.77	8831.82	4.33	0.09	7.72
1256	432997.76	7759.57	4.59	0.61	7.62
1257	404037.20	11273.87	4.19	0.08	7.71
1258	301799.66	9992.56	4.30	0.07	7.76
1259	319290.00	11240.87	4.64	0.61	8.30
1260	7447765.10	28108.85	5.62	107.01	10.10
1261	8784348.39	27571.93	5.10	119.21	9.89
1262	2870919.35	26806.18	8.27	13.26	10.95
1263	2099975.22	24357.99	4.46	3.01	12.75
1264	565125.71	32977.22	7.44	0.20	9.93
1265	1436075.83	40844.84	7.73	0.11	10.43
1266	4563139.21	28947.86	5.61	55.67	10.19
1267	1515468.75	23978.36	4.35	6.31	12.70
1268	6218076.58	22566.30	5.06	31.31	9.95
1269	13980826.13	25954.83	6.24	110.58	9.76
1270	2964931.45	23357.26	5.26	47.39	9.63
1271	819988.39	23586.75	6.03	2.74	9.50
1272	3547294.32	24651.43	5.49	10.10	12.86
1273	2146457.19	23386.54	4.86	2.08	12.62
1274	2286126.37	23109.34	5.14	15.29	10.07
1275	7794716.19	39693.30	6.75	67.70	8.40
1276	1020078.36	24027.63	3.96	2.37	6.65
1277	1395060.68	21341.12	4.53	3.82	6.48
1278	1326819.03	25083.96	4.94	3.15	6.59
1279	1751356.79	22953.37	4.09	7.26	6.85
1280	1184150.75	22281.95	3.92	4.25	6.82
1281	3115227.02	20713.35	5.77	4.45	6.75
1282	1756947.92	21629.72	4.58	3.40	6.78
1283	1242695.07	25226.06	5.29	5.85	7.30
1284	812886.15	22519.48	4.22	3.87	7.03
1285	520919.18	19708.84	3.75	0.71	6.86
1286	3840295.97	25164.97	4.79	28.51	7.51
1287	947177.01	20418.89	3.92	3.36	7.06
1288	762345.66	20078.95	2.09	1.25	9.36
1289	2485847.80	32124.71	3.99	13.99	9.59
1290	1413990.72	19156.64	3.02	6.75	9.40
1291	793260.47	21496.60	1.49	3.78	9.41
1292	25281.18	32957.71	2.84	0.04	9.44
1293	850813.60	49474.83	6.18	8.05	10.71
1294	40083.11	19348.36	4.35	0.05	9.66
1295	623271.80	17773.30	4.58	1.61	10.03
1296	190578.33	43461.35	4.12	0.93	9.77
1297	2403817.63	19814.05	4.50	5.12	10.00
1298	924087.60	33297.87	7.78	1.37	10.92
1299	884935.18	15868.81	4.64	0.18	9.37
1300	477681.58	15963.05	4.15	0.13	9.44
1301	428018.45	16248.41	4.30	0.54	9.46
1302	238136.49	14905.32	4.53	0.04	9.09
1303	647770.39	14751.15	5.04	0.17	9.05
1304	338448.66	15188.92	4.91	0.27	9.32
1305	434646.01	15814.99	4.76	0.16	9.49
1306	393355.37	14681.68	4.72	0.40	9.39
1307	398593.21	14424.27	4.34	0.13	9.23
1308	865639.10	15851.32	5.07	0.20	9.70
1309	494907.61	13641.94	4.80	0.15	9.45
1310	454928.82	14310.95	5.01	0.20	9.39
1311	983437.08	14241.87	5.45	0.17	9.26
1312	560717.84	21609.82	7.11	0.03	11.39
1313	222100.15	10128.48	4.62	0.05	9.62
1314	101547.71	9541.47	4.74	0.03	9.14
1315	132399.55	11094.24	4.98	0.08	9.61
1316	88612.22	12169.95	4.25	0.05	8.92
1317	85315.73	10091.54	5.09	0.10	9.53
1318	93805.88	9535.67	3.90	0.11	8.90
1319	66024.87	9153.80	3.82	0.03	8.84
1320	60488.02	9137.92	3.84	0.03	9.27
1321	122796.33	7435.43	4.49	0.08	8.69
1322	233623.76	9822.96	4.40	0.02	9.51
1323	142679.37	7631.27	4.47	0.00	9.47
1324	100430.29	9794.98	3.67	0.02	9.15
1327	38486.35	11464.66	2.32	0.00	8.58
1328	116024.91	10049.52	3.82	0.02	9.57
1330	318884.17	9917.03	4.62	0.01	10.63
1331	146640.73	16642.33	4.30	0.03	10.35
1332	83969.02	11783.73	4.24	0.00	10.31
1333	2531040.13	2525.94	2.01	0.14	7.19
1335	132174.16	5360.34	3.97	0.29	8.73
1336	166671.61	7205.97	4.20	0.03	9.11
1337	230307.47	6143.42	4.27	0.07	9.13
1338	121276.45	6371.77	3.76	0.06	9.02
1339	207584.46	6187.22	4.17	0.06	9.35
1340	103104.12	6633.65	4.31	0.15	9.83
1341	190814.62	6336.60	4.61	0.08	9.42
1342	107044.74	5486.56	4.11	0.09	7.90
1344	318035.08	8094.70	4.80	0.08	9.56
1345	153583.31	6682.38	3.85	0.07	8.24
1346	145223.95	5735.09	4.13	0.03	8.27
1347	99865.81	5337.99	3.98	0.03	8.18
1348	810155.56	11221.33	6.87	1.20	11.20
1349	1845638.72	44380.95	6.54	10.37	11.82
1350	1314605.97	36748.95	6.35	7.06	11.22
1351	627442.03	26062.03	5.79	1.22	11.07
1352	1082513.92	27257.99	6.12	3.88	11.09
1353	896254.14	29173.86	5.88	1.89	10.94
1354	1006830.72	20718.08	5.82	0.98	10.85
1355	802853.05	23525.18	5.58	2.29	11.13
1356	192180.91	21880.99	4.02	0.65	11.12
1357	347258.65	21487.42	4.80	0.58	11.17
1358	240450.51	28512.89	4.85	1.61	10.12
1359	202095.95	17288.01	4.26	0.19	9.97
1360	874445.44	22675.51	4.28	4.31	10.31
1361	398736.26	22638.00	4.05	1.34	10.43
1362	990017.95	26497.79	4.71	4.23	10.19
1363	351081.25	30641.53	4.20	0.82	10.47
1364	460616.24	27779.68	3.91	1.02	10.32
1365	1112131.93	22789.81	4.36	2.34	10.36
1366	1166245.02	38451.61	8.12	4.40	10.83
1367	1099580.41	5808.65	4.26	0.00	9.91
1369	694719.91	5677.53	4.79	0.16	9.77
1370	1718553.63	4310.82	4.57	0.06	10.59
1371	2749896.50	8354.50	4.78	0.10	10.46
1372	3721701.50	8444.28	5.25	0.08	10.30
1373	1066995.00	4644.93	4.65	0.04	9.86
1374	2319688.75	6550.25	4.58	0.15	10.58
1375	864202.56	4617.57	3.91	0.02	10.19
1376	1117275.38	5454.40	4.28	0.00	9.81
1377	2076272.00	14368.69	8.07	0.54	11.51
1380	2058324.81	4951.95	4.83	0.06	10.42
1381	2007168.50	5771.16	4.61	0.05	10.17
1383	1845659.25	5754.10	4.37	0.04	10.41
1384	1279572.31	8354.33	4.09	0.13	10.06
1385	926628.03	5603.40	4.09	0.00	9.61
1386	1058519.84	6125.26	4.06	0.05	9.91
1387	876700.25	4395.29	4.43	0.00	9.73
1388	942854.47	3576.44	4.61	0.03	10.26
1389	1236213.81	5463.42	4.13	0.09	9.70
1391	1451894.00	8923.49	4.32	0.08	10.38
1392	1131606.94	5096.60	3.89	0.10	9.85
1393	1923102.55	6138.27	2.50	0.05	10.69
1397	686042.52	2882.34	1.95	0.00	10.35
1399	1623140.57	2299.18	3.86	0.02	9.90
1400	1519395.78	7628.80	2.56	0.54	10.65
1405	3869519.26	21764.92	4.28	8.06	10.24
1406	2438553.90	26416.49	5.05	2.97	6.74
1407	839923.16	20983.40	4.74	0.80	6.40
1408	3425150.19	27085.39	5.71	4.18	7.48
1409	558095.49	23499.57	4.56	0.66	6.67
1410	1478670.47	19449.75	4.34	2.40	6.97
1411	1025816.38	2012.09	-0.07	0.10	6.65
1412	3131008.78	1654.70	1.06	0.12	5.95
1413	3822250.89	2012.07	3.45	0.10	6.62
1414	2557804.38	3213.49	3.26	0.34	7.47
1415	1667752.92	2072.67	2.53	0.05	7.17
1416	292259.91	8368.48	4.03	0.04	8.76
1417	152522.92	5445.23	4.14	0.02	8.10
1418	110518.42	5699.02	3.90	0.16	8.41
1419	257603.65	7507.47	4.30	0.10	9.02
1420	190162.44	6487.70	3.66	0.05	8.81
1421	105372.98	6026.24	4.19	0.05	9.21
1422	114409.54	6321.12	4.02	0.00	8.98
1423	488620.34	6289.98	4.80	0.21	9.24
1424	212356.30	5194.56	4.26	0.04	8.37
1427	361880.88	26933.29	4.50	0.19	8.83
1428	244824.66	25861.71	3.40	0.06	8.89
1432	6024704.45	1392.21	6.52	0.02	6.13
1442	295866.32	682.82	4.80	0.03	4.59
1443	538722.52	788.77	5.37	0.03	4.23
1444	1869573.97	743.56	5.75	0.03	5.24
1445	706844.29	662.21	4.77	0.00	4.98
1448	1809739.14	10459.84	0.85	0.50	10.06
1449	2744220.86	10745.88	2.86	0.22	9.43
1450	1821707.81	45324.74	-0.51	0.07	11.15
1451	3221686.43	14998.50	0.70	0.30	10.68
1452	2392457.55	9837.85	1.21	0.23	9.99
1453	1342791.65	6185.80	1.29	0.00	9.37
1454	354818.34	11778.70	-0.24	0.12	11.34
1456	530841.40	2217.51	3.83	0.05	10.08
1457	3127814.48	23315.59	4.72	10.71	7.26
1458	1948927.15	23028.85	5.02	6.80	12.82
1460	941476.57	2273.48	2.22	0.00	
1466	1736918.56	1242.36	4.31	0.05	
1471	966764.32	1337.90	4.59	0.03	2.74
1477	73361.33	2321.76	4.45	0.03	4.23
1480	293907.16	6421.43	5.89	0.05	4.63
1483	793559.81	7767.94	7.39	0.03	6.23
1484	128926.71	2891.25	4.86	0.06	2.25
1486	214528.45	4485.02	5.30	0.03	3.64
1489	1068161.38	8068.20	7.36	0.56	6.26
1490	146654.11	2485.83	3.60	0.03	3.89
1491	35218736.85	1591.66	5.49	2.40	2.60
1492	24024597.69	1677.63	5.48	3.10	3.16
1493	426174.24	2994.12	7.31	0.02	4.39
1494	3097700.80	16521.87	8.24	0.02	7.04
1495	290330.05	7156.79	4.67	0.06	3.08
1496	382212.21	3913.97	4.96	0.00	3.23
1497	445607.98	16671.08	6.77	0.08	5.21
1498	167953.67	18257.40	5.81	0.03	3.74
1499	9164701.98	2349.29	5.32	0.12	5.83
1500	1955592.77	1112.44	5.38	0.04	5.23
1502	6464205.50	1058.62	3.69	0.15	5.41
1506	404962.49	3610.42	4.17	0.00	2.85
1507	144631.92	22650.52	2.62	0.07	8.59
1508	93700.55	23026.93	2.26	0.03	8.31
1509	573955.70	23241.30	3.90	0.15	8.70
1510	875882.62	19397.84	5.45	0.19	8.25
1511	303275.79	24511.36	4.24	0.08	8.37
1513	4220843.66	26027.63	5.78	6.20	7.20
1514	7767816.55	26790.12	5.79	21.06	7.22
1515	4377336.91	27665.80	5.64	30.31	7.89
1516	12055210.27	39105.08	6.59	50.38	9.04
1518	1058512.52	21114.09	4.36	2.08	6.47
1519	2287458.02	22252.31	4.56	2.58	6.98
1520	1161923.38	20394.50	4.13	4.13	6.65
1521	1966813.44	22844.60	4.21	5.29	7.15
1522	1708239.80	21280.51	3.99	4.24	7.31
1523	3546263.96	3377.01	5.19	0.07	2.99
1524	2659718.71	1863.25	4.56	0.03	1.61
1525	1814454.20	1595.44	4.29	0.00	1.93
1526	3504702.68	2597.29	5.22	0.06	2.54
1527	1800817.65	2848.68	3.07	0.00	1.68
1528	1121475.22	1879.71	3.44	0.13	2.30
1536	7992152.98	1317.91	7.53	0.03	3.94
1540	1656773.98	667.99	6.76	0.00	2.48
1546	2390210.08	722.06	6.79	0.03	2.70
1547	3740072.04	705.72	6.56	0.03	2.68
1549	3937494.62	717.93	6.34	0.03	2.07
