source_country_std,destination_country_std,source_region_id_g,source_region_g,source_country_g,source_country_id_g,destination_region_g,destination_country_g,destination_country_id_g,source_lat_def,source_long_def,destination_lat_def,destination_long_def,investment_mm,jobs,rank,group
United States,Mexico,548,Michigan,United States,1663,Guanajuato,Mexico,1653,42.402397,-83.133812,20.797842,-101.25812,942.9000015258789,2319,14,United States
United States,Thailand,548,Michigan,United States,1663,Rayong,Thailand,1770,42.331429,-83.045753,12.681396,101.28162,964.7200317382813,5368,13,United States
United States,Belgium,376,Texas,United States,1663,Prov. Antwerpen,Belgium,1674,32.814018,-96.948891,51.219448,4.4024644,1041.400001525879,217,12,United States
United States,China,366,California,United States,1663,Jiangsu,China,1741,35.172581,-119.51031,31.87056,119.30189,1054.699987769127,2011,11,United States
United States,Singapore,366,California,United States,1663,,Singapore,1611,36.788509,-121.34944,1.352083,103.81984,1173.599988937378,1814,10,United States
United States,Iran,366,California,United States,1663,Chaharmahal and Bakhtiyari,"Iran, Islamic Rep.",1690,33.567684,-117.72561,31.961435,50.845631,1180,650,9,United States
United States,Australia,366,California,United States,1663,New South Wales,Australia,1576,36.957058,-121.54356,-33.871754,151.20485,1364.999998450279,2344,8,United States
United States,Canada,366,California,United States,1663,Ontario,Canada,1632,36.530926,-121.05728,44.186649,-78.61602,1386.499965667725,2811,7,United States
United States,China,548,Michigan,United States,1663,Guangxi,China,1741,42.331429,-83.045753,24.325502,109.41595,1441.600006103516,3129,6,United States
United States,United Kingdom,367,Colorado,United States,1663,Midlands,United Kingdom,1778,39.739235,-104.99025,52.32365,-1.2111745,1445,1504,5,United States
United States,Singapore,376,Texas,United States,1663,,Singapore,1611,31.741051,-96.777283,1.352083,103.81984,1461.000023365021,617,4,United States
United States,United Kingdom,367,Colorado,United States,1663,South East w/ London,United Kingdom,1778,39.870907,-105.10729,51.474232,-.0071967454,1639.599996566773,1763,3,United States
United States,Indonesia,365,Arizona,United States,1663,E. Java,Indonesia,1619,33.448376,-112.07404,-7.5360637,112.2384,2000,3000,2,United States
United States,Mexico,366,California,United States,1663,Baja California Norte,Mexico,1653,32.715736,-117.16109,32.541763,-116.83647,2006,3100,1,United States
Germany,United Kingdom,1270,Rhineland-Palatinate,"Germany, West",1779,South West,United Kingdom,1778,50.118347,7.3089528,50.917957,-3.4746838,483.3999938964844,126,100,Advanced economies
France,China,1275,le-de-France,France,1774,Tianjin,China,1741,48.840572,2.313282,39.08416,117.20098,485.300012588501,427,99,Advanced economies
Japan,China,789,Osaka,Japan,1694,Zhejiang,China,1741,34.693737,135.50217,29.868336,121.54399,490,2795,98,Advanced economies
United States,China,503,Washington,United States,1663,Shaanxi,China,1741,47.130142,-119.27808,38.285389,109.73459,498,1381,97,Advanced economies
United States,China,366,California,United States,1663,Guangdong w/ Hainan,China,1741,35.926632,-120.31586,22.626814,113.94451,505.4000055789948,1412,96,Advanced economies
United States,Honduras,381,Florida,United States,1663,Valle,Honduras,1646,26.715342,-80.053375,13.536906,-87.485161,506.2000122070313,350,95,Advanced economies
Spain,United Kingdom,553,Navarra,Spain,1777,South East w/ London,United Kingdom,1778,42.695393,-1.6760691,51.143883,.025774196,507.0749931335449,132,94,Advanced economies
United States,Spain,548,Michigan,United States,1663,Zaragoza,Spain,1777,42.331429,-83.045753,41.765858,-1.1748999,511.2999877929688,1000,93,Advanced economies
United States,United Kingdom,366,California,United States,1663,South East w/ London,United Kingdom,1778,36.337055,-120.82084,51.49086,-.21877497,513.8999952673912,981,92,Advanced economies
Ireland,Ghana,518,Mid-East w/ Dublin,Ireland,1648,,Ghana,1755,53.349804,-6.2603097,5.8142834,.0746767,525,116,91,Advanced economies
Spain,Brazil,494,Madrid,Spain,1777,Par and Amap,Brazil,1572,40.416775,-3.7037902,.035573501,-51.070534,532.2999877929688,89,90,Advanced economies
United States,Brazil,503,Washington,United States,1663,Rio de Janeiro,Brazil,1572,47.606209,-122.33207,-22.906847,-43.172897,532.2999877929688,89,89,Advanced economies
France,Italy,1275,le-de-France,France,1774,Lombardia,Italy,1693,48.872093,2.338443,45.50423,9.2678156,533.8000082969666,1263,88,Advanced economies
Canada,Australia,525,Alberta,Canada,1632,,Australia,1576,51.048615,-114.07085,-20.311626,118.57526,535.719970703125,20,87,Advanced economies
Spain,Brazil,494,Madrid,Spain,1777,So Paulo,Brazil,1572,40.416775,-3.7037902,-23.215141,-46.796112,545.9999874830246,2297,86,Advanced economies
Japan,Indonesia,789,Osaka,Japan,1694,Jakarta,Indonesia,1619,34.693737,135.50217,-6.2087636,106.8456,576.3999984264374,636,85,Advanced economies
United States,Saudi Arabia,388,Ohio,United States,1663,,Saudi Arabia,1721,40.629135,-82.942978,23.088333,42.944725,583.5999879837036,246,84,Advanced economies
United States,Brazil,366,California,United States,1663,So Paulo,Brazil,1572,36.431381,-120.92775,-23.55052,-46.633308,590.6999876499176,488,83,Advanced economies
Switzerland,Italy,959,Genf,Switzerland,1727,,Italy,1693,46.198391,6.1422963,45.440849,12.315516,596.4000091552734,948,82,Advanced economies
United States,Ghana,376,Texas,United States,1663,,Ghana,1755,32.776665,-96.796989,4.9400001,-1.72,600,121,81,Advanced economies
United States,Canada,378,Connecticut,United States,1663,Ontario,Canada,1632,41.693432,-72.870171,43.510891,-79.54541,603.199996471405,760,80,Advanced economies
United Kingdom,Brazil,1516,South East w/ London,United Kingdom,1778,Rio de Janeiro,Brazil,1572,51.47295,-.26556373,-22.887648,-43.188789,605.2199870347977,392,79,Advanced economies
United Kingdom,Singapore,1516,South East w/ London,United Kingdom,1778,,Singapore,1611,51.493649,-.21547461,1.352083,103.81984,627.0000011920929,1228,78,Advanced economies
France,United States,1275,le-de-France,France,1774,California,United States,1663,48.858791,2.350065,35.434643,-119.68171,634.7000167369843,2649,77,Advanced economies
United States,Ireland,366,California,United States,1663,Mid-East w/ Dublin,Ireland,1648,37.722416,-122.33583,53.349804,-6.2603097,638.2510045170784,2051,76,Advanced economies
Switzerland,Australia,979,Zug,Switzerland,1727,New South Wales,Australia,1576,47.195847,8.5286331,-33.868912,151.20609,640.9400253295898,494,75,Advanced economies
United Kingdom,South Africa,1516,South East w/ London,United Kingdom,1778,Cape Province,South Africa,1595,51.507351,-.12775829,-32.298805,19.568323,644.700000166893,554,74,Advanced economies
Japan,China,792,Shiga,Japan,1694,Fujian,China,1741,35.017895,135.85461,24.479834,118.08942,674.1599731445313,3000,73,Advanced economies
Australia,Singapore,336,New South Wales,Australia,1576,,Singapore,1611,-33.873154,151.19749,1.352083,103.81984,681.6500046849251,1782,72,Advanced economies
Japan,China,797,Tokyo,Japan,1694,Shanghai,China,1741,35.709026,139.73199,31.207706,121.47763,688.6200105547905,1458,71,Advanced economies
Japan,Singapore,797,Tokyo,Japan,1694,,Singapore,1611,35.708519,139.73105,1.352083,103.81984,699.4999960362911,3065,70,Advanced economies
United States,Singapore,545,Illinois,United States,1663,,Singapore,1611,41.969162,-87.769852,1.352083,103.81984,718.6800048351288,1207,69,Advanced economies
Canada,United States,525,Alberta,Canada,1632,Texas,United States,1663,51.048615,-114.07085,35.66782,-101.39738,720,472,68,Advanced economies
Australia,United Kingdom,336,New South Wales,Australia,1576,Scotland,United Kingdom,1778,-33.87365,151.20689,57.149715,-2.0942781,722.5,752,67,Advanced economies
Germany,United States,1268,Lower Saxony,"Germany, West",1779,Tennessee,United States,1663,52.422649,10.786546,35.045631,-85.309677,739,2200,66,Advanced economies
United States,Argentina,548,Michigan,United States,1663,Santa Fe,Argentina,1550,42.331429,-83.045753,-32.950741,-60.6665,740,2599,65,Advanced economies
United States,Netherlands,366,California,United States,1663,Groningen,Netherlands,1712,37.386051,-122.08385,53.219383,6.5665016,757.1900024414063,150,64,Advanced economies
United States,Honduras,373,Missouri,United States,1663,Choluteca,Honduras,1646,38.787472,-90.62989,13.250433,-87.142288,759.3000183105469,525,63,Advanced economies
Germany,Australia,1260,Baden-Wurttemberg,"Germany, West",1779,New South Wales,Australia,1576,49.487461,8.4660397,-32.926697,151.77888,771,266,62,Advanced economies
United States,Philippines,390,Virginia,United States,1663,"Tagalog, Luzon, W. Visayas",Philippines,1769,38.879971,-77.106773,9.9833326,122.81667,781.0999755859375,116,61,Advanced economies
France,Pakistan,1275,le-de-France,France,1774,Balochistan,Pakistan,1715,48.856613,2.352222,28.490734,65.095779,781.0999755859375,116,60,Advanced economies
United States,Malaysia,366,California,United States,1663,,Malaysia,1605,37.644459,-122.29059,5.4141674,100.32876,782.5399932861328,3471,59,Advanced economies
Japan,Philippines,797,Tokyo,Japan,1694,"Tagalog, Luzon, W. Visayas",Philippines,1769,35.709026,139.73199,14.361387,121.25951,820.9999740123749,2135,58,Advanced economies
Japan,Mexico,758,Aichi,Japan,1694,Baja California Norte,Mexico,1653,35.082394,137.15625,32.514946,-117.03825,839.7999877929688,2068,57,Advanced economies
United Kingdom,United States,1516,South East w/ London,United Kingdom,1778,Oklahoma,United States,1663,51.516464,-1.1103847,35.035561,-97.956177,839.9000000953674,623,56,Advanced economies
Japan,Turkey,797,Tokyo,Japan,1694,Kirklareli,Turkey,1732,35.709026,139.73199,41.725979,27.483839,846.7999877929688,262,55,Advanced economies
Canada,Iraq,525,Alberta,Canada,1632,,Iraq,1691,51.048615,-114.07085,36.410339,44.387196,850.2000122070313,214,54,Advanced economies
Japan,United States,797,Tokyo,Japan,1694,Maryland,United States,1663,35.709026,139.73199,38.522179,-77.102493,852.7999877929688,15,53,Advanced economies
United States,Japan,539,Idaho,United States,1663,Hiroshima,Japan,1694,43.61871,-116.21461,34.396561,132.45963,858.8599853515625,2025,52,Advanced economies
Belgium,Mozambique,1349,Prov. Brabant,Belgium,1674,Inhambane,Mozambique,1589,50.850338,4.3517103,-23.332001,35.382,864.9000244140625,875,51,Advanced economies
Belgium,Mozambique,1349,Prov. Brabant,Belgium,1674,,Mozambique,1589,50.850338,4.3517103,-23.86113,35.341137,864.9000244140625,875,50,Advanced economies
Belgium,Mozambique,1349,Prov. Brabant,Belgium,1674,Tete,Mozambique,1589,50.850338,4.3517103,-16.166668,33.599998,864.9000244140625,875,49,Advanced economies
Belgium,Mozambique,1349,Prov. Brabant,Belgium,1674,Cabo Delgado,Mozambique,1589,50.850338,4.3517103,-12.973203,40.517803,864.9000244140625,875,48,Advanced economies
Spain,United Kingdom,494,Madrid,Spain,1777,Wales,United Kingdom,1778,40.416752,-3.7038321,51.87571,-4.9391932,865.5,200,47,Advanced economies
Poland,Chile,1160,Lubelskie,Poland,1717,Antofagasta,Chile,1552,51.246452,22.568447,-23.83691,-69.28775,868.2000122070313,462,46,Advanced economies
United States,Mexico,548,Michigan,United States,1663,Coahuila,Mexico,1653,42.331429,-83.045753,27.058676,-101.70683,900,2240,45,Advanced economies
United States,Mexico,548,Michigan,United States,1663,Mexico,Mexico,1653,42.331429,-83.045753,19.496874,-99.723267,900,2240,44,Advanced economies
Switzerland,Mauritania,979,Zug,Switzerland,1727,,Mauritania,1652,47.195847,8.5286331,24.577377,-9.9018135,900,1231,43,Advanced economies
Australia,United States,336,New South Wales,Australia,1576,California,United States,1663,-33.87365,151.20689,36.341415,-120.69249,914.1000003814697,6037,42,Advanced economies
United States,Mexico,548,Michigan,United States,1663,San Luis Potosi,Mexico,1653,42.331429,-83.045753,22.156517,-100.9855,916.6000003814697,2324,41,Advanced economies
Spain,Mexico,553,Navarra,Spain,1777,Durango,Mexico,1653,42.812527,-1.6457745,24.559267,-104.65878,938.9000015258789,3130,40,Advanced economies
Germany,China,1261,Bavaria,"Germany, West",1779,Liaoning,China,1741,48.135124,11.581981,41.805698,123.43147,940.7999877929688,2648,39,Advanced economies
United States,Mexico,548,Michigan,United States,1663,Guanajuato,Mexico,1653,42.402397,-83.133812,20.797842,-101.25812,942.9000015258789,2319,38,Advanced economies
United States,Thailand,548,Michigan,United States,1663,Rayong,Thailand,1770,42.331429,-83.045753,12.681396,101.28162,964.7200317382813,5368,37,Advanced economies
Japan,United States,797,Tokyo,Japan,1694,South Carolina,United States,1663,35.709026,139.73199,34.949566,-81.932045,1000,500,36,Advanced economies
Germany,United States,1261,Bavaria,"Germany, West",1779,South Carolina,United States,1663,48.135124,11.581981,34.949566,-81.932045,1000,800,35,Advanced economies
Italy,Malaysia,1234,Piemonte,Italy,1693,Sarawak,Malaysia,1605,44.895214,8.8633327,1.5532783,110.35921,1000,833,34,Advanced economies
Denmark,Ghana,1293,Capital region,Denmark,1681,,Ghana,1755,55.676098,12.568337,5.7089238,.018655499,1000,2074,33,Advanced economies
France,China,1275,le-de-France,France,1774,Shanghai,China,1741,48.856613,2.352222,31.230415,121.4737,1004.129989981651,2251,32,Advanced economies
Japan,Canada,797,Tokyo,Japan,1694,Ontario,Canada,1632,35.709026,139.73199,43.793945,-79.471146,1034.800001144409,1422,31,Advanced economies
United States,Belgium,376,Texas,United States,1663,Prov. Antwerpen,Belgium,1674,32.814018,-96.948891,51.219448,4.4024644,1041.400001525879,217,30,Advanced economies
Netherlands,Malaysia,1197,Noord-Holland,Netherlands,1712,Johor,Malaysia,1605,52.370216,4.8951678,1.4648247,103.98636,1047.900024414063,266,29,Advanced economies
United States,China,366,California,United States,1663,Jiangsu,China,1741,35.172581,-119.51031,31.87056,119.30189,1054.699987769127,2011,28,Advanced economies
Spain,Chile,482,Sevilla,Spain,1777,Antofagasta,Chile,1552,37.389091,-5.9844589,-22.345005,-69.660706,1055.399993896484,309,27,Advanced economies
United Kingdom,Chile,1516,South East w/ London,United Kingdom,1778,Antofagasta,Chile,1552,51.507351,-.12775829,-22.867899,-70.296509,1097.499969482422,264,26,Advanced economies
United States,Singapore,366,California,United States,1663,,Singapore,1611,36.788509,-121.34944,1.352083,103.81984,1173.599988937378,1814,25,Advanced economies
United States,Iran,366,California,United States,1663,Chaharmahal and Bakhtiyari,"Iran, Islamic Rep.",1690,33.567684,-117.72561,31.961435,50.845631,1180,650,24,Advanced economies
Japan,China,797,Tokyo,Japan,1694,Jiangsu,China,1741,35.709026,139.73199,31.549982,120.64974,1201.079992294312,5701,23,Advanced economies
Japan,Thailand,797,Tokyo,Japan,1694,Chon Buri,Thailand,1770,35.709026,139.73199,13.324396,100.97485,1270.340024232864,2208,22,Advanced economies
Germany,China,1268,Lower Saxony,"Germany, West",1779,Hubei,China,1741,52.422649,10.786546,30.5931,114.30539,1300,3000,21,Advanced economies
Germany,China,1268,Lower Saxony,"Germany, West",1779,Shandong,China,1741,52.422649,10.786546,36.067116,120.38261,1360,3000,20,Advanced economies
United States,Australia,366,California,United States,1663,New South Wales,Australia,1576,36.957058,-121.54356,-33.871754,151.20485,1364.999998450279,2344,19,Advanced economies
United States,Canada,366,California,United States,1663,Ontario,Canada,1632,36.530926,-121.05728,44.186649,-78.61602,1386.499965667725,2811,18,Advanced economies
United States,China,548,Michigan,United States,1663,Guangxi,China,1741,42.331429,-83.045753,24.325502,109.41595,1441.600006103516,3129,17,Advanced economies
Germany,China,1268,Lower Saxony,"Germany, West",1779,Tianjin,China,1741,52.359722,10.409923,39.08416,117.20098,1444.039998054504,3539,16,Advanced economies
United States,United Kingdom,367,Colorado,United States,1663,Midlands,United Kingdom,1778,39.739235,-104.99025,52.32365,-1.2111745,1445,1504,15,Advanced economies
United States,Singapore,376,Texas,United States,1663,,Singapore,1611,31.741051,-96.777283,1.352083,103.81984,1461.000023365021,617,14,Advanced economies
Japan,Indonesia,797,Tokyo,Japan,1694,W. Java,Indonesia,1619,35.709026,139.73199,-6.3443661,107.215,1473.780000686646,4865,13,Advanced economies
United States,United Kingdom,367,Colorado,United States,1663,South East w/ London,United Kingdom,1778,39.870907,-105.10729,51.474232,-.0071967454,1639.599996566773,1763,12,Advanced economies
Belgium,Mozambique,1349,Prov. Brabant,Belgium,1674,Nampula,Mozambique,1589,50.850338,4.3517103,-14.829722,39.969723,1729.800048828125,1750,11,Advanced economies
United States,Indonesia,365,Arizona,United States,1663,E. Java,Indonesia,1619,33.448376,-112.07404,-7.5360637,112.2384,2000,3000,10,Advanced economies
United States,Mexico,366,California,United States,1663,Baja California Norte,Mexico,1653,32.715736,-117.16109,32.541763,-116.83647,2006,3100,9,Advanced economies
France,China,1275,le-de-France,France,1774,Sichuan w/ Chongqing,China,1741,48.856613,2.352222,30.572269,104.06654,2040.599998474121,3274,8,Advanced economies
Italy,Canada,1234,Piemonte,Italy,1693,Ontario,Canada,1632,45.070313,7.6868563,42.314938,-83.036362,2380,2700,7,Advanced economies
Germany,China,1268,Lower Saxony,"Germany, West",1779,Zhejiang,China,1741,52.399269,10.259278,30.071209,120.84953,2407.300000190735,3040,6,Advanced economies
Australia,Malaysia,336,New South Wales,Australia,1576,Selangor w/ Kuala Lumpur,Malaysia,1605,-33.87365,151.20689,3.139003,101.68685,2506.89990234375,3062,5,Advanced economies
France,Saudi Arabia,1275,le-de-France,France,1774,,Saudi Arabia,1721,48.863667,2.3312941,22.364624,44.607067,2654.299999237061,193,4,Advanced economies
Japan,Malaysia,797,Tokyo,Japan,1694,Negeri Sembilan,Malaysia,1605,35.709026,139.73199,2.7258058,101.94238,3300,323,3,Advanced economies
Canada,Nigeria,549,Ontario,Canada,1632,South West,Nigeria,1768,43.653225,-79.383186,5.5324626,5.8987141,5000,1109,2,Advanced economies
Greece,Egypt,812,Kentriki Makedonia,Greece,1687,Suez,"Egypt, Arab Rep.",1682,40.621174,23.191803,29.368225,32.174606,10000,3966,1,Advanced economies
