geoid_r,macroregion,impact,diff,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
668,Central Asia,1.4409722,1,2005,,0,,,,,,,839985.56,6.07549,9918.4736,4.331779,11046400313.9,"Cankiri, Zonguldak"
669,Central Asia,1.4409722,1,2005,,0,,,,,,,479714.5,7.3410192,11048.689,3.9899459,8893738335.26,Eskisehir
670,Central Asia,1.4409722,-1,2005,,0,,,,,,,234893.22,5.1904011,8153.5562,3.273175,8935249064.389999,Kastamonu
671,Central Asia,1.4409722,0,2005,,1,,,,,,1732,1259652.3,7.4853368,8016.2222,4.5808239,13294908499.4,Antalya
672,Central Asia,1.4409722,1,2005,,0,,,,,,,1530363.6,6.344893,7238.9849,3.900414,31278989494.1,Konya
673,Central Asia,1.4409722,1,2005,,0,,,,,,,544249.06,6.1652188,5727.7368,4.0611482,9396186134.969999,Afyonkarahisar
674,Central Asia,1.4409722,-1,2005,,0,,,,,,,162563.72,6.2913532,8903.0352,3.5720451,4567832886.76,Burdur
675,Central Asia,1.4409722,-1,2005,,0,,,,,,,569784.44,6.2816319,9124.7402,4.4069219,6970890568.28,Denizli
676,Central Asia,1.4409722,-1,2005,,0,,,,,,,351192.28,7.060503,7052.9058,4.1367588,5643428518.07,Isparta
677,Central Asia,1.4409722,-1,2005,,0,,,,,,,450281.91,6.1636,6102.8428,4.0611062,7786488322.29,Kutahya
678,Central Asia,1.4409722,1,2005,,5,,,,,,1732,843128.88,5.7056131,10639.212,4.6184468,8334761278.28,Manisa
679,Central Asia,1.4409722,0,2005,,0,,,,,,,496673.31,7.2143941,13774.651,4.1379871,8015488251.7,Mugla
680,Central Asia,1.4409722,-1,2005,,0,,,,,,,216548.19,6.0587778,6025.8369,4.3177528,2893637321,Usak
681,Central Asia,1.4409722,1,2005,,0,,,,,,,431232.44,5.7336431,3702.8291,4.550283,4593301467.22,Adiyaman
682,Central Asia,1.4409722,-1,2005,,0,,,,,,,388289.53,6.2493272,6963.3848,4.1780992,5975016638.82,Elazig
683,Central Asia,1.4409722,-1,2005,,0,,,,,,,670765.88,5.8930149,5971.4282,4.2873888,9243716416.959999,Kahramanmaras
684,Central Asia,1.4409722,-1,2005,,0,,,,,,,594079.25,6.65272,5370.3462,4.3819509,7483779884.84,Malatya
685,Central Asia,1.4409722,-1,2005,,0,,,,,,1732,1047411.2,4.4256182,3942.8889,4.4592371,12410682513.5,Sanliurfa
686,Central Asia,1.4409722,0,2005,,0,,,,,,,2539583.8,6.1286278,7891.9932,5.0001531,17236625595.1,"Adana, Gaziantep"
