geoid_r,macroregion,impact,diff,diff2,year_c,region,allpat,pop_r,yearsofeducation_r,gdppcregion_r,lnpopulationdensity_r,shape_area_r,id_c,pop_r_ip,yearsofeducation_r_ip,gdppcregion_r_ip,lnpopulationdensity_r_ip,shape_area_r_ip,region_ip
46,Latin America,0.12582392,-1,0,2005,Madre de Dios,0,53424.84,8.0303097,5812.9971,0.2194304,42898867957,,53424.84,8.0303097,5812.9971,0.2194304,42898867957,Madre de Dios
47,Latin America,0.12582392,-1,0,2005,Puno,0,648275.81,6.2792392,2728.124,2.847019,37611026961,,648275.81,6.2792392,2728.124,2.847019,37611026961,Puno
48,Latin America,0.12582392,-1,0,2005,Moquegua,0,82513.586,8.8584671,15917.43,2.3370719,7971645798,,82513.586,8.8584671,15917.43,2.3370719,7971645798,Moquegua
49,Latin America,0.12582392,-1,0,2005,Tacna,0,147460.22,9.020318,7992.9961,2.859091,8452543530,,147460.22,9.020318,7992.9961,2.859091,8452543530,Tacna
50,Latin America,0.12582392,-1,0,2005,Ancash,0,536592.75,6.630713,5718.001,3.3789611,18288608396,,536592.75,6.630713,5718.001,3.3789611,18288608396,Ancash
51,Latin America,0.12582392,-1,0,2005,Cajamarca,0,696469.94,4.692935,3726.2119,3.696631,17277302418,,696469.94,4.692935,3726.2119,3.696631,17277302418,Cajamarca
52,Latin America,0.12582392,-1,0,2005,Hunuco,0,382671.47,5.0474782,2204.23,3.021894,18639497501,,382671.47,5.0474782,2204.23,3.021894,18639497501,Hunuco
53,Latin America,0.12582392,-1,0,2005,La Libertad,0,797731.44,7.3270898,4282.3599,4.1580739,12474642322,,797731.44,7.3270898,4282.3599,4.1580739,12474642322,La Libertad
54,Latin America,0.12582392,-1,0,2005,Pasco,0,140452.23,7.1945949,6390.3589,2.4451561,12178979492,,140452.23,7.1945949,6390.3589,2.4451561,12178979492,Pasco
55,Latin America,0.12582392,-1,0,2005,San Martn,0,358294.72,5.6445799,2716.5439,2.593668,26780870619,,358294.72,5.6445799,2716.5439,2.593668,26780870619,San Martn
56,Latin America,0.12582392,-1,0,2005,Amazonas,0,188437.7,4.9178438,2637.7371,2.2196009,20474219163,,188437.7,4.9178438,2637.7371,2.2196009,20474219163,Amazonas
57,Latin America,0.12582392,-1,0,2005,Loreto w/ Ucayali,0,651472.19,6.536684,3763.6699,0.99312812,2.41316E+11,1574,651472.19,6.536684,3763.6699,0.99312812,2.41316E+11,Loreto w/ Ucayali
58,Latin America,0.12582392,-1,0,2005,Ayacucho,0,310262.41,5.556613,2320.5271,2.6113319,22784634904,,310262.41,5.556613,2320.5271,2.6113319,22784634904,Ayacucho
59,Latin America,0.12582392,-1,0,2005,Huancavelica,0,230824.97,4.673645,3240.104,3.004087,11445225820,,230824.97,4.673645,3240.104,3.004087,11445225820,Huancavelica
60,Latin America,0.12582392,-1,0,2005,Ica,0,359565.22,8.8798456,5886.7881,3.504885,10805017340,,359565.22,8.8798456,5886.7881,3.504885,10805017340,Ica
61,Latin America,0.12582392,-1,0,2005,Junn,0,622653.94,7.4207549,4022.853,3.3121691,22687675673,,622653.94,7.4207549,4022.853,3.3121691,22687675673,Junn
62,Latin America,0.12582392,0,0,2005,Lima w/ Callao,2,4630132,9.7728014,8383.8867,5.5414791,18153468832,1574,4630132,9.7728014,8383.8867,5.5414791,18153468832,Lima w/ Callao
63,Latin America,0.12582392,0,0,2005,Bocas Del Toro,0,54699.602,6.0366631,3006.4629,2.498827,4495286626,,54699.602,6.0366631,3006.4629,2.498827,4495286626,Bocas Del Toro
64,Latin America,0.12582392,0,0,2005,Chiriqu,0,199866.67,7.647584,4259.6152,3.8482511,4260555361,,199866.67,7.647584,4259.6152,3.8482511,4260555361,Chiriqu
65,Latin America,0.12582392,0,0,2005,Cocl,0,110975.73,7.0875459,3371.2241,3.7951059,2494792556,,110975.73,7.0875459,3371.2241,3.7951059,2494792556,Cocl
66,Latin America,0.12582392,0,0,2005,Coln,0,113702.22,8.1343765,14411.67,3.8078401,2523742417,,113702.22,8.1343765,14411.67,3.8078401,2523742417,Coln
67,Latin America,0.12582392,0,0,2005,Herrera,0,53957.258,7.257998,3796.4231,3.8118451,1192852124,,53957.258,7.257998,3796.4231,3.8118451,1192852124,Herrera
68,Latin America,0.12582392,0,0,2005,Los Santos,0,43937.742,6.9878368,4251.9829,3.1261129,1928342299,,43937.742,6.9878368,4251.9829,3.1261129,1928342299,Los Santos
69,Latin America,0.12582392,0,0,2005,Panam City,0,790053.31,9.5307655,10005.4,4.919282,5770844453,1568,790053.31,9.5307655,10005.4,4.919282,5770844453,Panam City
70,Latin America,0.12582392,1,1,2005,Veraguas,0,110831.25,6.6207352,2821.061,2.9939809,5551275601,,110831.25,6.6207352,2821.061,2.9939809,5551275601,Veraguas
71,Latin America,0.12582392,1,1,2005,Darin,0,22539.064,4.2801971,2228.3501,1.0014549,8279602670,,22539.064,4.2801971,2228.3501,1.0014549,8279602670,Darin
72,Latin America,0.12582392,,0,,,,,,,,,,,,,,,
73,Latin America,0.12582392,1,1,2005,Pacfico Central,0,970899.13,6.8024778,3023.4031,5.5063419,3942758297,,970899.13,6.8024778,3023.4031,5.5063419,3942758297,Pacfico Central
74,Latin America,0.12582392,-1,0,2005,Pacfico Norte,0,379011.38,5.1433158,1887.916,4.0822358,6393809218,,379011.38,5.1433158,1887.916,4.0822358,6393809218,Pacfico Norte
75,Latin America,0.12582392,0,0,2005,Pacfico Sur,0,80215.07,4.8031392,1819.6219,3.417433,2630774932,,80215.07,4.8031392,1819.6219,3.417433,2630774932,Pacfico Sur
76,Latin America,0.12582392,0,0,2005,Interior Sur,0,205633.38,3.5225899,1738.943,2.9176359,11116815003,,205633.38,3.5225899,1738.943,2.9176359,11116815003,Interior Sur
77,Latin America,0.12582392,1,1,2005,Azuay,0,327418.22,6.7957401,6270.7959,4.3072872,4410338046,,327418.22,6.7957401,6270.7959,4.3072872,4410338046,Azuay
78,Latin America,0.12582392,0,0,2005,El Oro,0,281925.09,7.3237629,4663.688,4.5052028,3115651927,,281925.09,7.3237629,4663.688,4.5052028,3115651927,El Oro
79,Latin America,0.12582392,0,0,2005,Loja,0,214190.55,6.841301,3134.1389,3.626442,5699759699,,214190.55,6.841301,3134.1389,3.626442,5699759699,Loja
80,Latin America,0.12582392,0,0,2005,Zamora Chinchipe,0,41975.668,6.340837,3140.6741,2.1751189,4768210892,,41975.668,6.340837,3140.6741,2.1751189,4768210892,Zamora Chinchipe
81,Latin America,0.12582392,0,0,2005,Galapagos,0,10834.106,,15567.83,1.035573,3846355902,,10834.106,,15567.83,1.035573,3846355902,Galapagos
82,Latin America,0.12582392,0,0,2005,Bolivar,0,88483.18,5.6263952,2405.6641,3.808362,1962954016,,88483.18,5.6263952,2405.6641,3.808362,1962954016,Bolivar
83,Latin America,0.12582392,0,0,2005,Caar,0,108360.65,5.5552931,4061.4189,4.021945,1941614876,,108360.65,5.5552931,4061.4189,4.021945,1941614876,Caar
84,Latin America,0.12582392,0,0,2005,Cotopaxi,0,189318.19,5.62113,4815.1582,3.9936881,3489439638,,189318.19,5.62113,4815.1582,3.9936881,3489439638,Cotopaxi
85,Latin America,0.12582392,1,1,2005,Guayas,0,1811235.4,7.5870171,5156.5669,5.2402229,9597872391,,1811235.4,7.5870171,5156.5669,5.2402229,9597872391,Guayas
86,Latin America,0.12582392,1,1,2005,Los Rios,0,356011.47,6.0135188,3480.5471,4.6737452,3324163028,,356011.47,6.0135188,3480.5471,4.6737452,3324163028,Los Rios
87,Latin America,0.12582392,0,0,2005,Manabi,0,638196.56,6.042459,3662.1479,4.180809,9755559057,,638196.56,6.042459,3662.1479,4.180809,9755559057,Manabi
88,Latin America,0.12582392,1,1,2005,Chimborazo,0,215590.42,6.0778131,2766.2859,4.2508459,3072631656,,215590.42,6.0778131,2766.2859,4.2508459,3072631656,Chimborazo
89,Latin America,0.12582392,0,0,2005,Morona Santiago,0,65440.73,5.9931922,2486.3989,1.693681,12030725776,,65440.73,5.9931922,2486.3989,1.693681,12030725776,Morona Santiago
90,Latin America,0.12582392,0,0,2005,Napo w/ Orellana,0,100042.42,6.289103,27673.381,1.7745939,16962420325,,100042.42,6.289103,27673.381,1.7745939,16962420325,Napo w/ Orellana
91,Latin America,0.12582392,0,0,2005,Pichincha,0,1326746.3,8.4800234,6026.0801,5.2253079,7136174002,,1326746.3,8.4800234,6026.0801,5.2253079,7136174002,Pichincha
92,Latin America,0.12582392,0,0,2005,Pastaza,0,36070.406,7.051929,15665.77,0.90463227,14597357248,,36070.406,7.051929,15665.77,0.90463227,14597357248,Pastaza
93,Latin America,0.12582392,0,0,2005,Tungurahua,0,236280.39,6.747499,4552.6699,5.0328979,1540521812,,236280.39,6.747499,4552.6699,5.0328979,1540521812,Tungurahua
94,Latin America,0.12582392,0,0,2005,Esmeraldas,0,239884.14,6.0239172,5590.6079,3.428483,7780908089,,239884.14,6.0239172,5590.6079,3.428483,7780908089,Esmeraldas
95,Latin America,0.12582392,0,0,2005,Carchi,0,79583.742,6.055161,3551.1499,3.7505009,1870692714,,79583.742,6.055161,3551.1499,3.7505009,1870692714,Carchi
96,Latin America,0.12582392,0,0,2005,Imbabura,0,185312.11,6.1941342,3415.0149,4.349627,2392680950,,185312.11,6.1941342,3415.0149,4.349627,2392680950,Imbabura
97,Latin America,0.12582392,0,0,2005,Sucumbios,0,75554.523,6.0217628,31044.801,2.095521,9293669898,,75554.523,6.0217628,31044.801,2.095521,9293669898,Sucumbios
98,Latin America,0.12582392,0,0,2005,Nuevos Departamentos,0,462982.53,5.8950558,11279.37,0.64605403,2.42654E+11,,462982.53,5.8950558,11279.37,0.64605403,2.42654E+11,Nuevos Departamentos
99,Latin America,0.12582392,0,0,2005,Antioquia,0,2840030.3,6.9178648,6768.312,4.490633,31846802056,,2840030.3,6.9178648,6768.312,4.490633,31846802056,Antioquia
100,Latin America,0.12582392,-1,0,2005,Boyaca,0,612633.44,5.7720098,5598.106,3.9477479,11822668642,,612633.44,5.7720098,5598.106,3.9477479,11822668642,Boyaca
101,Latin America,0.12582392,-1,0,2005,Cordoba,0,744099.44,5.5490532,3866.4929,4.0647779,12773806645,,744099.44,5.5490532,3866.4929,4.0647779,12773806645,Cordoba
