geoid_r	pop_rIp	GDPpc_rIp	educ_rIp	allpat	popd_rIp
1172	416789.85	29981.95	9.02	0.78	4.43
1173	195033.89	25283.50	8.53	0.08	1.92
1174	189985.81	24251.78	8.62	0.36	1.98
1175	233948.06	25658.33	8.48	0.24	4.05
1176	227001.69	27187.83	8.55	0.23	2.72
1177	193557.59	26008.73	8.74	0.14	4.50
1178	160285.73	27493.97	8.63	0.68	2.37
1179	93706.13	24876.19	8.72	0.23	2.36
1180	138044.31	29235.22	8.81	0.09	2.99
1181	328653.33	32802.77	8.63	0.68	3.58
1182	413994.07	33857.43	8.82	0.31	3.28
1183	110879.09	28981.72	8.64	0.24	1.74
1184	258411.39	27793.13	8.56	0.32	2.76
1185	277328.45	35420.38	8.88	0.92	2.59
1186	145842.44	25235.15	8.75	0.11	1.74
1187	303979.39	26762.11	8.48	0.11	1.83
1188	206558.20	31511.74	8.56	0.25	1.73
1189	107525.54	30457.99	8.30	0.13	0.42
1190	469538.76	40023.85	10.33	0.92	5.46
1191	518796.26	27986.20	9.98	0.96	5.17
1192	387527.95	27690.04	9.77	0.48	5.16
1193	881971.01	29632.73	10.07	1.94	5.75
1194	1554341.45	28898.80	10.06	5.03	5.92
1195	256306.91	24910.57		0.32	5.29
1196	915953.05	41509.47	10.79	2.84	6.66
1197	2069544.45	39344.26	10.59	6.79	6.78
1198	2730203.48	34830.23	10.17	8.54	6.95
1199	297296.41	30565.33	9.85	0.51	5.26
1200	1883427.18	34377.83	10.07	25.14	6.13
1201	903448.68	30300.37	9.86	4.50	6.24
1222	611031.90	9142.50	11.11	0.48	4.46
1223	340327.44	10411.34	10.79	0.00	4.31
1227	113859.22	5473.11	9.85	0.00	3.39
1229	163036.28	8532.60	10.12	0.03	3.25
1230	740792.46	13254.89	11.43	0.34	4.48
1231	2778361.60	30619.81	6.86	7.20	5.19
1232	1178355.12	26953.28	7.35	0.78	5.73
1233	989445.43	24745.57	6.53	0.52	4.99
1234	3069544.99	27801.39	6.96	8.43	5.16
1235	83103.59	31212.31	6.75	0.08	3.59
1236	6389578.64	31606.17	7.23	26.89	5.92
1237	870264.61	27598.07	7.20	1.61	5.08
1238	655304.81	29260.48	7.21	0.52	4.20
1239	3163371.69	27856.33	6.82	5.51	5.50
1240	1399483.77	21278.43	9.93	8.49	8.19
1241	751197.29	10090.94	8.27	0.64	5.07
1242	309568.15	12773.79	8.22	0.10	4.57
1243	233454.68	11628.16	8.23	0.25	4.93
1244	273710.01	11045.35	8.18	0.48	4.42
1245	318517.38	14525.25	8.48	0.15	4.64
1246	201137.29	12193.98	8.25	0.09	4.42
1247	220638.63	10503.16	7.99	0.11	4.38
1248	299130.68	8396.20	8.21	0.17	4.54
1249	250124.38	7821.93	7.78	0.05	4.04
1250	184836.84	9448.41	7.80	0.10	4.23
1251	572332.69	9551.28	7.97	0.32	4.66
1252	248187.53	8761.66	8.02	0.05	4.52
1253	169533.58	12173.76	7.84	0.06	4.49
1254	403969.86	8715.02	7.98	0.96	4.48
1255	313799.77	8831.82	7.72	0.09	4.33
1256	432997.76	7759.57	7.62	0.61	4.59
1257	404037.20	11273.87	7.71	0.08	4.19
1258	301799.66	9992.56	7.76	0.07	4.30
1259	319290.00	11240.87	8.30	0.61	4.64
1260	7447765.10	28108.85	10.10	107.01	5.62
1261	8784348.39	27571.93	9.89	119.21	5.10
1262	2870919.35	26806.18	10.95	13.26	8.27
1263	2099975.22	24357.99	12.75	3.01	4.46
1264	565125.71	32977.22	9.93	0.20	7.44
1265	1436075.83	40844.84	10.43	0.11	7.73
1266	4563139.21	28947.86	10.19	55.67	5.61
1267	1515468.75	23978.36	12.70	6.31	4.35
1268	6218076.58	22566.30	9.95	31.31	5.06
1269	13980826.13	25954.83	9.76	110.58	6.24
1270	2964931.45	23357.26	9.63	47.39	5.26
1271	819988.39	23586.75	9.50	2.74	6.03
1272	3547294.32	24651.43	12.86	10.10	5.49
1273	2146457.19	23386.54	12.62	2.08	4.86
1274	2286126.37	23109.34	10.07	15.29	5.14
1275	7794716.19	39693.30	8.40	67.70	6.75
1276	1020078.36	24027.63	6.65	2.37	3.96
1277	1395060.68	21341.12	6.48	3.82	4.53
1278	1326819.03	25083.96	6.59	3.15	4.94
1279	1751356.79	22953.37	6.85	7.26	4.09
1280	1184150.75	22281.95	6.82	4.25	3.92
1281	3115227.02	20713.35	6.75	4.45	5.77
1282	1756947.92	21629.72	6.78	3.40	4.58
1283	1242695.07	25226.06	7.30	5.85	5.29
1284	812886.15	22519.48	7.03	3.87	4.22
